code,description,chapter,block
A15,"A150 BACTERIOLOGICA E HISTOLOGICAMENTE BACILO TUBERCULOSO EN ESPUTO, CON O SIN CULTIVO A151 TUBERCULOSIS DEL PULMON, CONFIRMADA UNICAMENTE POR CULTIVO A152 TUBERCULOSIS DEL PULMON, CONFIRMADA HISTOLOGICAMENTE A153 TUBERCULOSIS DEL PULMON , CONFIRMADA POR MEDIOS NO ESPECIFICADOS TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, CONFIRMADA A154 BACTERIOLOGICA E HISTOLOGICAMENTE TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA A155 BACTERIOLOGICA E HISTOLOGICAMENTE PLEURESIA TUBERCULOSA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE A156 (TUBERCULOSIS PLEURAL) TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLOGICA E A157 HISTOLOGICAMENTE OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLOGICA E A158 HISTOLOGICAMENTE TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA A159 BACTERIOLOGICAMENTE E HISTOLOGICAMENTE TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA TUBERCULOSIS DEL PULMON, CON EXAMEN BACTERIOLOGICO E HISTOLOGICO",A,A15
A16,"A160 BACTERIOLOGICA E HISTOLOGICAMENTE NEGATIVOS A161 TUBERCULOSIS DEL PULMON, SIN EXAMEN BACTERIOLOGICO E HISTOLOGICO TUBERCULOSIS DE PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O A162 HISTOLOGICA TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, SIN MENCION DE A163 CONFIRMACION BACTERIOLOGICA O HISTOLOGICA TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, SIN MENCION DE A164 CONFIRMACION BACTERIOLOGICA O HISTOLOGICA PLEURESIA TUBERCULOSA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA E A165 HISTOLOGICA TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCION DE CONFIRMACION A167 BACTERIOLOGICA E HISTOLOGICA A168 OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCION DE CONFIRMACION TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, SIN MENCION DE CONFIRMACION A169 BACTERIOLOGICA O HISTOLOGICA",A,A16
A17,"TUBERCULOSIS DEL SISTEMA NERVIOSO A170 MENINGITIS TUBERCULOSA A171 TUBERCULOMA MENINGEO A178 OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO A179 TUBERCULOSIS DEL SISTEMA NERVIOSO, NO ESPECIFICADA",A,A17
A18,"TUBERCULOSIS DE OTROS ORGANOS A180 TUBERCULOSIS DE HUESOS Y ARTICULACIONES A181 TUBERCULOSIS DEL APARATO GENITOURINARIO A182 LINFADENOPATIA PERIFERICA TUBERCULOSA A183 TUBERCULOSIS DE LOS INTESTINOS, EL PERITONEO Y LOS GANGLIOS MESENTERICOS A184 TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTANEO (ACNITIS) A185 TUBERCULOSIS DEL OJO A186 TUBERCULOSIS DEL OIDO A187 TUBERCULOSIS DE GLANDULAS SUPRARRENALES A188 TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS",A,A18
A19,"TUBERCULOSIS MILIAR A190 TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO A191 TUBERCULOSIS MILIAR AGUDA DE SITIOS MULTIPLES A192 TUBERCULOSIS MILIAR AGUDA, NO ESPECIFICADA A198 OTRAS TUBERCULOSIS MILIARES A199 TUBERCULOSIS MILIAR, SIN OTRA ESPECIFICACION",A,A19
A20,"PESTE A200 PESTE BUBONICA A201 PESTE CELULOCUTANEA A202 PESTE NEUMONICA A203 MENINGITIS POR PESTE A207 PESTE SEPTICEMICA A208 OTRAS FORMAS DE PESTE A209 PESTE, NO ESPECIFICADA",A,A20
A21,"TULAREMIA A210 TULAREMIA ULCEROGLANDULAR A211 TULAREMIA OCULOGLANDULAR A212 TULAREMIA PULMONAR A213 TULAREMIA GASTROINTESTINAL A217 TULAREMIA GENERALIZADA A218 OTRAS FORMAS DE TULAREMIA A219 TULAREMIA , NO ESPECIFICADA",A,A21
A22,"CARBUNCO [ ANTRAX ] A220 CARBUNCO CUTANEO A221 CARBUNCO PULMONAR A222 CARBUNCO GASTROINTESTINAL A227 CARBUNCO SEPTICEMICO A228 OTRAS FORMAS DE CARBUNCO A229 CARBUNCO, NO ESPECIFICADO",A,A22
A23,"BRUCELOSIS A230 BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS A231 BRUCELOSIS DEBIDA A BRUCELLA ABORTUS A232 BRUCELOSIS DEBIDA A BRUCELLA SUIS A233 BRUCELOSIS DEBIDA A BRUCELLA CANIS A238 OTRAS BRUCELOSIS A239 BRUCELOSIS, NO ESPECIFICADA",A,A23
A24,"MUERMO Y MELIOIDOSIS A240 MUERMO A241 MELIOIDOSIS AGUDA Y FULMINANTE A242 MELIOIDOSIS SUBAGUDA Y CRONICA A243 OTRAS MELIOIDOSIS A244 MELIOIDOSIS , NO ESPECIFICADA",A,A24
A25,"FIEBRE POR MORDEDURA DE RATA A250 ESPIRILOSIS A251 ESTREPTOBACILOSIS A259 FIEBRE POR MORDEDURA DE RATA, NO ESPECIFICADA",A,A25
A26,"ERISIPELOIDE A260 ERISIPELOIDE CUTANEO A267 SEPTICEMIA POR ERYSIPELOTHRIX A268 OTRAS FORMAS DE ERISIPELOIDE A269 ERISIPELOIDE, NO ESPECIFICADA",A,A26
A27,"LEPTOSPIROSIS A270 LEPTOSPIROSIS ICTEROHEMORRAGICA A278 OTRAS FORMAS DE LEPTOSPIROSIS A279 LEPTOSPIROSIS, NO ESPECIFICADA",A,A27
A28,"OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS A280 PASTEURELOSIS A281 ENFERMEDAD POR RASGUÑO DE GATO A282 YERSINIOSIS EXTRAINTESTINAL OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS ESPECIFICADAS, NO A288 CLASIFICADAS EN OTRA PARTE A289 ENFERMEDAD ZOONOTICA BACTERIANA, SIN OTRA ESPECIFICACION",A,A28
A30,"LEPRA [ ENFERMEDAD DE HANSEN ] A300 LEPRA INDETERMINADA A301 LEPRA TUBERCULOIDE A302 LEPRA TUBERCULOIDE LIMITROFE A303 LEPRA LIMITROFE A304 LEPRA LEPROMATOSA LIMITROFE A305 LEPRA LEPROMATOSA A308 OTRAS FORMAS DE LEPRA A309 LEPRA, NO ESPECIFICADA",A,A30
A31,"INFECCIONES DEBIDAS A OTRAS MICOBACTERIAS A310 INFECCIONES POR MICOBACTERIAS PULMONARES A311 INFECCION CUTANEA POR MICOBACTERIAS A318 OTRAS INFECCIONES POR MICOBACTERIAS A319 INFECCION POR MICOBACTERIA, NO ESPECIFICADA",A,A31
A32,"LISTERIOSIS A320 LISTERIOSIS CUTANEA A321† MENINGITIS Y MENINGOENCEFALITIS LISTERIANA A327 SEPTICEMIA LISTERIANA A328 OTRAS FORMAS DE LISTERIOSIS A329 LISTERIOSIS, NO ESPECIFICADA",A,A32
A33,TETANOS NEONATAL A33 TETANOS NEONATAL,A,A33
A34,TETANOS OBSTETRICO A34 TETANOS OBSTETRICO,A,A34
A35,OTROS TETANOS A35 OTROS TETANOS (CONVULSION TETANICA),A,A35
A36,"DIFTERIA A360 DIFTERIA FARINGEA A361 DIFTERIA NASOFARINGEA A362 DIFTERIA LARINGEA A363 DIFTERIA CUTANEA A368 OTRAS DIFTERIAS A369 DIFTERIA, NO ESPECIFICADA",A,A36
A37,"TOS FERINA [ TOS CONVULSIVA ] A370 TOS FERINA DEBIDA A BORDETELLA PERTUSSIS A371 TOS FERINA DEBIDA A BORDETELLA PARAPERTUSSIS A378 TOS FERINA DEBIDA A OTRAS ESPECIES DE BORDETELLA A379 TOS FERINA, NO ESPECIFICADA (COQUELUCHE)",A,A37
A38,ESCARLATINA A38 ESCARLATINA,A,A38
A39,"INFECCION MENINGOCOCICA A390 MENINGITIS MENINGOCOCICA A391 SINDROME DE WATERHOUSE-FRIDERICHSEN A392 MENINGOCOCEMIA AGUDA A393 MENINGOCOCEMIA CRONICA A394 MENINGOCOCEMIA, NO ESPECIFICADA A395 ENFERMEDAD CARDIACA DEBIDA A MENINGOCOCO A398 OTRAS INFECCIONES MENINGOCOCICAS A399 INFECCION MENINGOCOCICA, NO ESPECIFICADA",A,A39
A40,"SEPTICEMIA ESTREPTOCOCICA A400 SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO A A401 SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO B A402 SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO D A403 SEPTICEMIA DEBIDA A STREPTOCOCCUS PNEUMONIAE A408 OTRAS SEPTICEMIAS ESTREPTOCOCICAS A409 SEPTICEMIA ESTREPTOCOCICA, NO ESPECIFICADA",A,A40
A41,"OTRAS SEPTICEMIAS A410 SEPTICEMIA DEBIDA STAPHYLOCOCCUS AUREUS A411 SEPTICEMIA DEBIDA A OTRO ESTAFILOCOCO ESPECIFICADO A412 SEPTICEMIA DEBIDA A ESTAFILOCOCO NO ESPECIFICADO A413 SEPTICEMIA DEBIDA A HAEMOPHILUS INFLUENZAE A414 SEPTICEMIA DEBIDA A ANAEROBIOS A415 SEPTICEMIA DEBIDA A OTROS ORGANISMOS GRAMNEGATIVOS A418 OTRAS SEPTICEMIAS ESPECIFICADAS A419 SEPTICEMIA, NO ESPECIFICADA (SEPSIS)",A,A41
A42,"ACTINOMICOSIS A420 ACTINOMICOSIS PULMONAR A421 ACTINOMICOSIS ABDOMINAL A422 ACTINOMICOSIS CERVICOFACIAL A427 SEPTICEMIA ACTINOMICOTICA A428 OTRAS FORMAS DE ACTINOMICOSIS A429 ACTINOMICOSIS, SIN OTRA ESPECIFICACION",A,A42
A43,"NOCARDIOSIS A430 NOCARDIOSIS PULMONAR A431 NOCARDIOSIS CUTANEA A438 OTRAS FORMAS DE NOCARDIOSIS A439 NORCARDIOSIS , NO ESPECIFICADA",A,A43
A44,"BARTONELOSIS A440 BARTONELOSIS SISTEMICA A441 BARTONELOSIS CUTANEA Y MUCOCUTANEA A448 OTRAS FORMAS DE BARTONELOSIS A449 BARTONELOSIS, NO ESPECIFICADA",A,A44
A46,ERISIPELA A46 ERISIPELA,A,A46
A48,OTRAS ENFERMEDADES BACTERIANAS NO A480 GANGRENA GASEOSA A481 ENFERMEDAD DE LOS LEGIONARIOS A482 ENFERMEDAD DE LOS LEGIONARIOS NO NEUMONICA [FIEBRE DE PONTIAC] A483 SINDROME DE CHOQUE TOXICO A484 FIEBRE PURPURICA BRASILEÑA A488 OTRAS ENFERMEDADES BACTERIANAS ESPECIFICADAS,A,A48
A49,"INFECCION BACTERIANA DE SITIO NO ESPECIFICADO A490 INFECCION ESTAFILOCOCICA, SIN OTRA ESPECIFICACIÓN A491 INFECCION ESTREPTOCOCICA, SIN OTRA ESPECIFICACION A492 INFECCION POR HAEMOPHILUS INFLUENZAE, SIN OTRA ESPECIFICACION A493 INFECCION POR MICOPLASMA, SIN OTRA ESPECIFICACION A498 OTRAS INFECCIONES BACTERIANAS DE SITIO NO ESPECIFICADO A499 INFECCION BACTERIANA, NO ESPECIFICADA",A,A49
A50,"SIFILIS CONGENITA A500 SIFILIS CONGENITA PRECOZ, SINTOMATICA A501 SIFILIS CONGENITA PRECOZ, LATENTE A502 SIFILIS CONGENITA PRECOZ SIN OTRA ESPECIFICACIÓN A503 OCULOPATIA SIFILITICA CONGENITA TARDIA A504 NEUROSIFILIS CONGENITA TARDIA [NEUROSIFILIS JUVENIL] A505 OTRAS FORMAS DE SIFILIS CONGENITA TARDIA, SINTOMATICA A506 SIFILIS CONGENITA TARDIA, LATENTE A507 SIFILIS CONGENITA TARDIA, SIN OTRA ESPECIFICACION A509 SIFILIS CONGENITA, SIN OTRA ESPECIFICACIÓN",A,A50
A51,"SIFILIS PRECOZ A510 SIFILIS GENITAL PRIMARIA A511 SIFILIS PRIMARIA ANAL A512 SIFILIS PRIMARIA EN OTROS SITIOS A513 SIFILIS SECUNDARIA DE PIEL Y MEMBRANAS MUCOSAS (CONDILOMA SIFILITICO) A514 OTRAS SIFILIS SECUNDARIAS A515 SIFILIS PRECOZ, LATENTE A519 SIFILIS PRECOZ, SIN OTRA ESPECIFICACIÓN",A,A51
A52,"SIFILIS TARDIA A520 SIFILIS CARDIOVASCULAR A521 NEUROSIFILIS SINTOMATICA A522 NEUROSIFILIS ASINTOMATICA A523 NEUROSIFILIS NO ESPECIFICADA A527 OTRAS SIFILIS TARDIAS SINTOMATICAS A528 SIFILIS TARDIA, LATENTE A529 SIFILIS TARDIA, NO ESPECIFICADA",A,A52
A53,"OTRAS SIFILIS Y LAS NO ESPECIFICADAS A530 SIFILIS LATENTE, NO ESPECIFICADA COMO PRECOZ O TARDIA A539 SIFILIS, NO ESPECIFICADA INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR SIN ABSCESO",A,A53
A54,"INFECCION GONOCOCICA A540 PERIURETRAL O DE GLANDULA ACCESORIA INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR CON ABSCESO A541 PERIURETRAL Y DE GLANDULAS ACCESORIAS PELVIPERITONITIS GONOCOCICA Y OTRAS INFECCIONES GONOCOCICAS A542 GENITOURINARIAS A543 INFECCION GONOCOCICA DEL OJO A544 INFECCION GONOCOCICA DEL SISTEMA OSTEOMUSCULAR A545 FARINGITIS GONOCOCICA A546 INFECCION GONOCOCICA DEL ANO Y DEL RECTO A548 OTRAS INFECCIONES GONOCOCICAS A549 INFECCION, GONOCOCICA, NO ESPECIFICADA",A,A54
A55,LINFOGRANULOMA (VENEREO) POR CLAMIDIAS A55 LINFOGRANULOMA (VENEREO) POR CLAMIDIAS,A,A55
A56,"OTRAS ENFERMEDADES DE TRANSMISION SEXUAL A560 INFECCION DEL TRACTO GENITOURINARIO INFERIOR DEBIDA A CLAMIDIAS INFECCION DEL PELVIPERITONEO Y OTROS ORGANOS GENITOURINARIOS DEBIDA A A561 CLAMIDIAS INFECCIONES DEL TRACTO GENITOURINARIO DEBIDAS A CLAMIDIAS, SIN OTRA A562 ESPECIFICACION A563 INFECCION DEL ANO Y DEL RECTO DEBIDA A CLAMIDIAS A564 INFECCION DE FARINGE DEBIDA A CLAMIDIAS A568 INFECCION DE TRANSMISIÓN SEXUAL DE OTROS SITIOS DEBIDA A CLAMIDIAS",A,A56
A57,CHANCRO BLANDO A57 CHANCRO BLANDO,A,A57
A58,GRANULOMA INGUINAL A58 GRANULOMA INGUINAL,A,A58
A59,"TRICOMONIASIS A590 TRICOMONIASIS UROGENITAL A598 TRICOMONIASIS DE OTROS SITIOS A599 TRICOMONIASIS, NO ESPECIFICADA INFECION ANOGENITAL DEBIDA A VIRUS DEL HERPES [ INFECCION DE GENITALES Y TRAYECTO UROGENITAL Y DEBIDA A VIRUS DEL HERPES",A,A59
A60,"A600 HERPES SIMPLE ] (HERPES GENITAL) A601 INFECCION DE LA PIEL PERIANAL Y RECTO POR VIRUS DEL HERPES SIMPLE A609 INFECCION ANOGENITAL POR VIRUS DEL HERPES SIMPLE, SIN OTRA ESPECIFICACION",A,A60
A63,"OTRAS ENFERMEDADES DE TRANSMISION A630 VERRUGAS (VENEREAS) ANOGENITALES (CONDILOMATOSIS) OTRAS ENFERMEDADES DE TRANSMISIÓN PREDOMINANTEMENTE SEXUAL, A638 ESPECIFICADAS ENFERMEDAD DE TRANSMISION SEXUAL NO",A,A63
A64,A64 ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA ESPECIFICADA (ITS),A,A64
A65,SIFILIS NO VENEREA A65 SIFILIS NO VENEREA,A,A65
A66,"FRAMBESIA A660 LESIONES INICIALES DE FRAMBESIA A661 LESIONES PAPILOMATOSAS MULTIPLES Y FRAMBESIA CON PASO DE CANGREJO A662 OTRAS LESIONES PRECOCES DE LA PIEL EN LA FRAMBESIA A663 HIPERQUERATOSIS DE FRAMBESIA A664 GOMA Y ULCERAS DE FRAMBESIA A665 GANGOSA A666 LESIONES FRAMBESICAS DE LOS HUESOS Y DE LAS ARTICULACIONES A667 OTRAS MANIFESTACIONES DE FRAMBESIA A668 FRAMBESIA LATENTE A669 FRAMBESIA , NO ESPECIFICADA",A,A66
A67,"PINTA [ CARATE ] A670 LESIONES PRIMARIAS DE LA PINTA A671 LESIONES INTERMEDIAS DE LA PINTA A672 LESIONES TARDIAS DE LA PINTA A673 LESIONES MIXTAS DE LA PINTA A679 PINTA, NO ESPECIFICADA",A,A67
A68,"FIEBRES RECURRENTES A680 FIEBRE RECURRENTE TRANSMITIDA POR PIOJOS A681 FIEBRE RECURRENTE TRANSMITIDA POR GARRAPATAS A689 FIEBRE RECURRENTE, NO ESPECIFICADA",A,A68
A69,"OTRAS INFECCIONES CAUSADAS POR ESPIROQUETAS A690 ESTOMATITIS ULCERATIVA NECROTIZANTE A691 OTRAS INFECCIONES DE VICENT A692 ENFERMEDAD DE LYME A698 OTRAS INFECCIONES ESPECIFICADAS POR ESPIROQUETAS A699 INFECCION POR ESPIROQUETA, NO ESPECIFICADA",A,A69
A70,INFECCION DEBIDA A CLAMYDIA PSITTACI A70 INFECCION DEBIDA A CHLAMYDIA PSITTACI,A,A70
A71,"TRACOMA A710 ESTADO INICIAL DE TRACOMA A711 ESTADO ACTIVO DE TRACOMA A719 TRACOMA, NO ESPECIFICADO",A,A71
A74,"OTRAS ENFERMEDADES CAUSADAS POR CLAMIDIAS A740 CONJUNTIVITIS POR CLAMIDIAS A748 OTRAS ENFERMEDADES POR CLAMIDIAS A749 INFECCION POR CLAMIDIAS, NO ESPECIFICADA",A,A74
A75,"TIFUS A750 TIFUS EPIDEMICO DEBIDO A RICKETTSIA PROWAZEKII TRANSMITIDO POR PIOJOS A751 TIFUS RECRUDESCENTE [ENFERMEDAD DE BRILL] A752 TIFUS DEBIDO A RICKETTSIA TYPHI A753 TIFUS DEBIDO A RICKETTSIA TSUTSUGAMUSHI A759 TIFUS, NO ESPECIFICADO",A,A75
A77,"FIEBRE MACULOSA [RICKETTSIOSIS TRANSMITIDA POR A770 FIEBRE MACULOSA DEBIDO A RICKETTSIA RICKETTSII A771 FIEBRE MACULOSA DEBIDO A RICKETTSIA CONORII A772 FIEBRE MACULOSA DEBIDO A RICKETTSIA SIBERICA A773 FIEBRE MACULOSA DEBIDO A RICKETTSIA AUSTRALIS A778 OTRAS FIEBRES MACULOSAS A779 FIEBRE MACULOSA, NO ESPECIFICADA",A,A77
A78,FIEBRE Q A78 FIEBRE Q,A,A78
A79,"OTRAS RICKETTSIOSIS A790 FIEBRE DE LAS TRINCHERAS A791 RICKETTSIOSIS PUSTULOSA DEBIDA A RICKETTSIA AKARI A798 OTRAS RICKETTSIOSIS ESPECIFICADAS A799 RICKETTSIOSIS, NO ESPECIFICADA",A,A79
A80,"POLIOMIELITIS AGUDA A800 POLIOMIELITIS AGUDA PARALITICA, ASOCIADA A VACUNA A801 POLIOMIELITIS AGUDA PARALITICA DEBIDA A VIRUS SALVAJE IMPORTADO A802 POLIOMIELITIS AGUDA PARALITICA DEBIDA A VIRUS SALVAJE AUTOCTONO A803 OTRAS POLIOMIELITIS AGUDAS PARALITICAS, Y NO LAS ESPECIFICADAS A804 POLIOMIELITIS AGUDA NO PARALITICA A809 POLIOMIELITIS AGUDA, SIN OTRA ESPECIFICACIÓN",A,A80
A81,"INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR A810 ENFERMEDAD DE CREUTZFELDT - JAKOB A811 PANENCEFALITIS ESCLEROSANTE SUBAGUDA A812 LEUCOENCEFALOPATIA MULTIFOCAL PROGRESIVA A818 OTRAS INFECCIONES DEL SISTEMA NERVIOSO POR VIRUS ATIPICO INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS ATIPICO, SIN OTRA A819 ESPECIFICACION",A,A81
A82,"RABIA A820 RABIA SELVATICA A821 RABIA URBANA A829 RABIA, SIN OTRA ESPECIFICACION",A,A82
A83,"ENCEFALITIS VIRAL TRANSMITIDA POR MOSQUITOS A830 ENCEFALITIS JAPONESA A831 ENCEFALITIS EQUINA DEL OESTE A832 ENCEFALITIS EQUINA DEL ESTE A833 ENCEFALITIS DE SAN LUIS A834 ENCEFALITIS AUSTRALIANA A835 ENCEFALITIS DE CALIFORNIA A836 ENFERMEDAD POR VIRUS ROCIO A838 OTRAS ENCEFALITIS VIRALES TRANSMITIDAS POR MOSQUITOS A839 ENCEFALITIS VIRAL TRANSMITIDA POR MOSQUITOS, SIN OTRA ESPECIFICACION ENCEFALITIS DEL LEJANO ORIENTE TRANSMITIDA POR GARRAPATAS [ENCEFALITIS",A,A83
A84,"ENCEFALITIS VIRAL TRANSMITIDA POR GARRAPATAS A840 PRIMAVEROESTIVAL RUSA] A841 ENCEFALITIS CENTROEUROPEA TRANSMITIDA POR GARRAPATAS A848 OTRAS ENCEFALITIS VIRALES TRANSMITIDAS POR GARRAPATAS A849 ENCEFALITIS VIRAL TRANSMITIDA POR GARRAPATAS, SIN OTRA ESPECIFICACION OTRAS ENCEFALITIS VIRALES, NO CLASIFICADAS EN",A,A84
A85,"A850 ENCEFALITIS ENTEROVIRAL OTRA PARTE A851 ENCEFALITIS POR ADENOVIRUS A852 ENCEFALITIS VIRAL TRANSMITIDA POR ARTROPODOS, SIN OTRA ESPECIFICACIÓN A858 OTRAS ENCEFALITIS VIRALES ESPECIFICADAS",A,A85
A86,"ENCEFALITIS VIRAL A86 ENCEFALITIS VIRAL, NO ESPECIFICADA",A,A86
A87,"MENINGITIS VIRAL A870 MENINGITIS ENTEROVIRAL A871 MENINGITIS DEBIDA A ADENOVIRUS A872 CORIOMENINGITIS LINFOCITICA A878 OTRAS MENINGITIS VIRALES A879 MENINGITIS VIRAL, SIN OTRA ESPECIFICACION",A,A87
A88,OTRAS INFECCIONES VIRALES DEL SISTEMA NERVIOSO A880 FIEBRE EXANTEMATICA ENTEROVIRAL [EXANTEMA DE BOSTON] A881 VERTIGO EPIDEMICO A888 OTRAS INFECCIONES VIRALES ESPECIFICADAS DEL SISTEMA NERVIOSO CENTRAL,A,A88
A89,"INFECCION VIRAL DEL SISTEMA NERVIOSO CENTRAL A89 INFECCION VIRAL DEL SISTEMA NERVIOSO CENTRAL, NO ESPECIFICADA",A,A89
A90,FIEBRE DEL DENGUE [ DENGUE CLASICO ] A90 FIEBRE DEL DENGUE [DENGUE CLASICO],A,A90
A91,FIEBRE DEL DENGUE HEMORRAGICO A91 FIEBRE DEL DENGUE HEMORRAGICO OTRAS FIEBRES VIRALES TRANSMITIDAS POR,A,A91
